angDist,#,main_id,main_type,other_types,sp_type
0.009954,1621,HD 123131,**,*  |** |Be*|Em*|IR,B6/7V
0.016969,1622,HD 123207,Be*,Be*|Em*|*  |IR,B6V(n)
0.043438,1623,HD 123296,Be*,*iC|Em*|Be*|*  |IR,B8/9V
0.041552,1624,V* V716 Cen,EB*,*  |bL*|V* |UV |IR,B5V
0.008843,1625,HD 124367,Be*,*  |Be*|V* |** |UV |IR |Em*,B4Vne
0.024704,1626,HD 124489,Be*,Be*|Em*|*  |IR,B8IV/V
0.034545,1627,HD 125015,Be*,*  |** |Em*|Be*|IR,B7Vn
0.051857,1628,HD 125106,Be*,*  |Em*|Be*|*  |IR,A0V
0.015307,1629,HD 124834,Be*,IR |Be*|Be*|Em*|UV |*,B3III/IV
0.041371,1630,HD 125159,Be*,Be*|Em*|*  |IR,B8
0.138324,1631,4U 1416-62,HMXB,HXB|HXB|HXB|X  |gam,B1Ve
0.012926,1632,* eps Aps,Be*,IR |V* |UV |*  |Be*,B3V
0.028136,1633,HD 124639,Be*,Be*|Be*|Em*|UV |IR |*,B9IVe
0.014398,1634,HD 126004,Be*,Er*|*iC|X  |*  |Em*|Be*|V* |*  |** |IR,B3/5
0.084911,1635,HD 126527,Be*,Be*|Be*|*  |IR |Em*,B9Ve
0.014798,1636,HD 126508,Be*,Be*|Em*|*  |IR,B9IV/V
0.086340,1637,HD 126693,Be*,Be*|Em*|*  |IR,B3/5V(ne)
0.051664,1638,HD 126986,Be*,Be*|Be*|Em*|*  |IR,B9IVne
0.072418,1639,HD 127208,Be*,Be*|*  |V* |UV |IR |El*|SB*,B9IVe
0.009698,1640,HD 127112,Be*,Be*|Be*|*  |IR |Em*,B8Ve
0.031908,1641,HD 127617,Em*,Em*|UV |*  |IR,A3
